location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
"{C103/B203, B203, C107/C105, C105/B203}","5:00 PM, 5:00 PM, 5:00 PM, 10:30 AM/5:00 PM",210,STEM+,0,?,6436c2637efba14cf3f8ffdd,"MW/TUTH, MW, MW/TUTH, MW",{},"6:20 PM, 6:20 PM, 6:20 PM, 11:50 AM/6:20 PM","90/91, 90/91, 90/91, 90/91",3,AMS,0,LEC,{},?,Applied Linear Algebra,"95396, 56196, 92222/97191, 52116/52352"
"{B103, B207, C103, B105}","5:00 PM, 5:00 PM, 5:00 PM, 9:00 AM",301,STEM+,0,?,6436c2637efba14cf3f8ffe0,"MW, MW, MW, MW",{},"6:20 PM, 6:20 PM, 6:20 PM, 10:20 AM",90,3,AMS,0,LEC,{},?,Finite Mathematical Structures,"95399, 92225, 52123"
"{A115, A313}","10:30 AM, 10:30 AM",394,CER; ESI; EXP+,0,?,6436c2647efba14cf3f8ffe6,"TUTH, TUTH",{},"11:50 AM, 11:50 AM","L90, 90",3,AMS,0,"LAB, LEC",{},?,Statistical Laboratory,"95588, 92354"
"{-, -, -, -}","-, -, -, -",487,EXP+; WRTD,0,?,6436c2647efba14cf3f8ffec,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 3,AMS,0,TUT,{},?,Research in Applied Mathematic,
{A312},2:00 PM,570,NaN,0,?,6436c2a13023723180f7eb73,MW,{},3:20 PM,90,3,AMS,0,LEC,{},?,Introduction to Mathematical Statistics,54845
{B314},5:00 PM,578,NaN,0,?,6436c2a13023723180f7eb76,TUTH,{},6:20 PM,90,3,AMS,0,LEC,{},?,Regression Theory,54847
"{B103, B204, B204, B204}","5:00 PM, 5:00 PM, 5:00 PM, 5:00 PM",326,DIV,0,?,6436c2657efba14cf3f8ffff,"TUTH, TUTH, TUTH, TUTH",{},"6:20 PM, 6:20 PM, 6:20 PM, 6:20 PM",90,3,BUS,0,LEC,{},?,Organizational Behavior,"95627, ?, 92857, 52630"
{B207},10:30 AM,348,NaN,0,?,6436c2657efba14cf3f90005,MW,{},11:50 AM,91,3,BUS,0,LEC,{},?,Principles of Marketing (major & non-major),96396
"{B313, B205, A117, B314}","10:30 AM, 9:00 AM, 2:00 PM, 2:00 PM",365,ESI,0,?,6436c2657efba14cf3f9000a,"MW, MW, TUTH, TUTH",{},"11:50 AM, 10:20 AM, 3:20 PM, 3:20 PM",90,3,BUS,0,LEC,{},?,Financial Management,"95671, ?, 92865, 52628"
"{A116, A116, C103, C107}","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM",447,CER,0,?,6436c2657efba14cf3f9000c,"TH, TH, TH, TH",{},"1:20 PM, 1:20 PM, 1:20 PM, 1:20 PM","T90, 90, 90, 90",3,BUS,0,LEC,{},?,Business Ethics,"95610, 54852, 92856, 52632"
