classNbr,subj,crs,courseTitle,sbc,cmp,sctn,credits,day,startTime,endTime,past_instructors,recent_two_instructors,most_recent_instructor,avgGrade,likes,location,id,semesters
"95396, 56196, 92222/97191, 52116/52352",AMS,210,Applied Linear Algebra,STEM+,LEC,"90/91, 90/91, 90/91, 90/91",3,"MW/TUTH, MW, MW/TUTH, MW","5:00 PM, 5:00 PM, 5:00 PM, 10:30 AM/5:00 PM","6:20 PM, 6:20 PM, 6:20 PM, 11:50 AM/6:20 PM",{},{},?,0,0,"{C103/B203, B203, C107/C105, C105/B203}",6436c2637efba14cf3f8ffdd,?
"95399, 92225, 52123",AMS,301,Finite Mathematical Structures,STEM+,LEC,90,3,"MW, MW, MW, MW","5:00 PM, 5:00 PM, 5:00 PM, 9:00 AM","6:20 PM, 6:20 PM, 6:20 PM, 10:20 AM",{},{},?,0,0,"{B103, B207, C103, B105}",6436c2637efba14cf3f8ffe0,?
"95588, 92354",AMS,394,Statistical Laboratory,CER; ESI; EXP+,"LAB, LEC","L90, 90",3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM",{},{},?,0,0,"{A115, A313}",6436c2647efba14cf3f8ffe6,?
?,AMS,487,Research in Applied Mathematic,EXP+; WRTD,TUT,?,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -",{},{},?,0,0,"{-, -, -, -}",6436c2647efba14cf3f8ffec,?
54845,AMS,570,Introduction to Mathematical Statistics,NaN,LEC,90,3,MW,2:00 PM,3:20 PM,{},{},?,0,0,{A312},6436c2a13023723180f7eb73,?
54847,AMS,578,Regression Theory,NaN,LEC,90,3,TUTH,5:00 PM,6:20 PM,{},{},?,0,0,{B314},6436c2a13023723180f7eb76,?
"95627, ?, 92857, 52630",BUS,326,Organizational Behavior,DIV,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","5:00 PM, 5:00 PM, 5:00 PM, 5:00 PM","6:20 PM, 6:20 PM, 6:20 PM, 6:20 PM",{},{},?,0,0,"{B103, B204, B204, B204}",6436c2657efba14cf3f8ffff,?
96396,BUS,348,Principles of Marketing (major & non-major),NaN,LEC,91,3,MW,10:30 AM,11:50 AM,{},{},?,0,0,{B207},6436c2657efba14cf3f90005,?
"95671, ?, 92865, 52628",BUS,365,Financial Management,ESI,LEC,90,3,"MW, MW, TUTH, TUTH","10:30 AM, 9:00 AM, 2:00 PM, 2:00 PM","11:50 AM, 10:20 AM, 3:20 PM, 3:20 PM",{},{},?,0,0,"{B313, B205, A117, B314}",6436c2657efba14cf3f9000a,?
"95610, 54852, 92856, 52632",BUS,447,Business Ethics,CER,LEC,"T90, 90, 90, 90",3,"TH, TH, TH, TH","10:30 AM, 10:30 AM, 10:30 AM, 10:30 AM","1:20 PM, 1:20 PM, 1:20 PM, 1:20 PM",{},{},?,0,0,"{A116, A116, C103, C107}",6436c2657efba14cf3f9000c,?
